Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,1,1,Male,55,3,3,Research Scientist,4,Divorced,10863,8345,3,Y,Yes,11,3,1,80,3,24,2,3,13,0,1,0
35,Yes,Travel_Rarely,Sales,14,1,Marketing,1,2,4,Female,95,2,1,Sales Executive,4,Single,7355,20752,8,Y,Yes,18,3,4,80,0,10,0,2,8,5,1,6
42,Yes,Travel_Rarely,Research & Development,1,2,Medical,1,3,1,Male,62,4,3,Research Director,1,Divorced,7797,22943,3,Y,Yes,22,3,3,80,1,32,3,3,5,4,2,3
50,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,4,3,Male,88,3,2,Research Director,1,Divorced,8548,15322,1,Y,No,23,3,4,80,3,9,5,3,7,4,5,2
34,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,5,3,Female,55,2,4,Laboratory Technician,3,Divorced,3609,9747,9,Y,No,21,3,2,80,3,35,0,4,0,0,0,0
34,No,Travel_Rarely,Sales,3,3,Technical Degree,1,6,3,Male,50,1,4,Sales Executive,2,Single,5256,20764,2,Y,No,12,3,1,80,0,12,1,3,2,1,2,2
51,No,Travel_Frequently,Sales,3,4,Technical Degree,1,7,2,Female,78,4,1,Sales Executive,4,Single,8546,18398,1,Y,No,12,3,3,80,1,11,6,2,0,0,0,0
43,No,Travel_Rarely,Sales,7,3,Technical Degree,1,8,3,Male,95,3,2,Sales Executive,3,Divorced,5308,13320,0,Y,No,18,3,3,80,0,36,2,3,5,4,4,4
32,No,Travel_Frequently,Sales,17,1,Marketing,1,9,2,Female,66,4,1,Sales Representative,4,Married,5640,5135,5,Y,Yes,12,3,2,80,1,8,0,3,6,0,5,6
41,Yes,Non-Travel,Research & Development,5,4,Life Sciences,1,10,3,Male,43,4,1,Research Scientist,2,Married,6493,4277,3,Y,No,18,4,4,80,1,10,0,1,0,0,0,0
32,No,Travel_Frequently,Research & Development,13,4,Other,1,11,2,Male,36,4,1,Manufacturing Director,4,Married,7353,10202,6,Y,No,15,3,4,80,3,14,0,2,11,3,4,3
32,No,Travel_Frequently,Sales,4,2,Technical Degree,1,12,3,Male,67,1,3,Sales Executive,2,Divorced,9329,3656,6,Y,No,19,4,3,80,0,30,3,2,14,6,9,8
39,No,Non-Travel,Research & Development,1,4,Marketing,1,13,2,Male,74,4,5,Research Director,4,Married,6632,11439,9,Y,No,19,3,1,80,1,1,2,3,0,0,0,0
19,Yes,Travel_Rarely,Research & Development,1,2,Marketing,1,14,4,Female,51,3,2,Laboratory Technician,1,Single,1500,16048,0,Y,No,24,3,4,80,2,12,3,2,1,0,0,0
21,No,Non-Travel,Research & Development,1,3,Technical Degree,1,15,3,Female,73,1,3,Manufacturing Director,3,Married,3782,20044,8,Y,No,18,3,4,80,3,5,0,3,3,2,1,3
31,No,Travel_Frequently,Research & Development,3,1,Medical,1,16,2,Male,64,2,5,Research Scientist,4,Married,4971,3763,7,Y,No,24,3,3,80,0,14,6,4,5,4,5,3
27,No,Travel_Frequently,Research & Development,3,3,Life Sciences,1,17,3,Male,89,3,1,Laboratory Technician,3,Divorced,4610,19913,9,Y,No,19,3,4,80,1,36,3,3,6,5,5,4
39,No,Travel_Rarely,Sales,10,3,Technical Degree,1,18,4,Female,32,1,4,Sales Executive,3,Single,7065,17413,0,Y,Yes,17,3,1,80,3,17,3,1,11,1,3,7
28,Yes,Travel_Rarely,Research & Development,10,3,Other,1,19,1,Female,96,3,3,Research Scientist,4,Single,4490,9865,7,Y,No,18,3,2,80,0,22,1,3,1,1,0,0
24,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,20,3,Male,84,3,2,Healthcare Representative,3,Married,6153,24222,4,Y,No,16,4,1,80,0,31,4,2,6,1,1,6
50,No,Travel_Rarely,Research & Development,1,1,Marketing,1,21,3,Male,38,2,2,Healthcare Representative,3,Divorced,9376,8910,0,Y,Yes,25,3,4,80,3,26,4,2,7,3,0,2
34,Yes,Travel_Rarely,Sales,2,4,Other,1,22,1,Male,98,1,5,Sales Representative,1,Divorced,6510,4617,3,Y,Yes,19,3,3,80,1,13,1,2,12,5,6,12
37,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,23,4,Female,57,4,3,Laboratory Technician,4,Married,6048,16740,6,Y,Yes,12,3,2,80,3,3,1,3,3,2,0,2
24,No,Travel_Rarely,Sales,1,5,Other,1,24,2,Male,44,3,1,Sales Representative,3,Single,3903,4754,4,Y,No,13,3,1,80,2,11,5,2,0,0,0,0
32,No,Travel_Rarely,Sales,1,3,Marketing,1,25,2,Female,60,3,5,Sales Executive,3,Single,4976,10101,2,Y,No,12,3,1,80,3,5,3,3,2,0,2,0
37,No,Travel_Rarely,Research & Development,23,1,Technical Degree,1,26,4,Male,88,3,2,Research Scientist,1,Single,8659,19810,3,Y,No,25,3,1,80,0,38,5,3,12,12,10,11
26,No,Travel_Rarely,Sales,13,1,Other,1,27,3,Female,83,3,3,Sales Executive,3,Divorced,5044,10067,1,Y,No,16,3,3,80,2,4,3,3,8,7,1,1
40,No,Travel_Rarely,Human Resources,1,4,Technical Degree,1,28,4,Male,97,3,4,Human Resources,1,Married,7314,7208,7,Y,No,13,4,2,80,2,32,2,4,7,5,7,2
31,No,Travel_Rarely,Sales,4,4,Marketing,1,29,3,Male,76,1,1,Sales Executive,1,Divorced,4655,16177,1,Y,No,21,3,2,80,1,10,4,3,2,2,2,2
34,No,Travel_Rarely,Sales,3,3,Marketing,1,30,4,Male,71,3,2,Sales Executive,3,Single,7102,16928,5,Y,Yes,11,3,4,80,3,10,3,3,3,2,0,0
31,No,Travel_Rarely,Research & Development,12,3,Other,1,31,4,Female,52,3,3,Research Scientist,1,Divorced,5691,12425,6,Y,No,14,3,3,80,1,18,2,3,9,5,1,0
53,Yes,Non-Travel,Research & Development,5,3,Other,1,32,1,Male,94,3,4,Laboratory Technician,1,Single,6164,15182,6,Y,No,15,3,4,80,3,23,6,2,2,0,2,0
36,No,Travel_Frequently,Research & Development,1,4,Marketing,1,33,4,Male,83,4,2,Healthcare Representative,3,Married,7078,8222,0,Y,Yes,22,3,1,80,0,18,5,2,2,1,0,1
27,No,Travel_Frequently,Research & Development,10,4,Other,1,34,3,Male,40,4,4,Laboratory Technician,1,Single,4465,16480,7,Y,No,21,3,2,80,1,35,4,3,2,0,1,2
44,Yes,Travel_Rarely,Human Resources,4,5,Other,1,35,1,Male,92,1,2,Human Resources,2,Married,6202,26192,8,Y,No,14,3,3,80,0,3,2,3,4,1,4,4
26,Yes,Travel_Rarely,Research & Development,2,4,Other,1,36,3,Female,51,3,5,Research Scientist,1,Divorced,4837,20445,6,Y,Yes,16,3,1,80,0,1,2,3,1,0,1,1
38,Yes,Travel_Rarely,Sales,3,4,Other,1,37,1,Female,83,3,5,Sales Executive,3,Divorced,10064,14289,7,Y,Yes,13,3,1,80,2,17,1,4,16,8,5,1
19,No,Non-Travel,Sales,5,2,Life Sciences,1,38,4,Female,65,2,5,Sales Executive,3,Divorced,4535,4563,3,Y,Yes,20,3,4,80,1,6,0,3,1,0,1,0
25,No,Travel_Frequently,Sales,3,4,Marketing,1,39,3,Male,87,4,3,Sales Executive,4,Single,3742,4803,7,Y,No,16,3,4,80,3,11,0,3,0,0,0,0
38,Yes,Travel_Rarely,Human Resources,2,4,Marketing,1,40,4,Female,49,2,5,Human Resources,2,Married,8892,8209,2,Y,No,20,4,1,80,1,14,0,3,4,4,3,2
43,No,Travel_Frequently,Research & Development,4,4,Medical,1,41,1,Male,45,3,3,Laboratory Technician,1,Divorced,6635,4293,0,Y,No,24,3,2,80,0,28,2,4,2,0,2,0
38,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,42,3,Male,85,3,1,Laboratory Technician,1,Divorced,6816,20009,7,Y,Yes,11,3,4,80,2,39,3,3,3,2,3,0
35,No,Travel_Rarely,Research & Development,11,1,Medical,1,43,2,Male,79,2,5,Manufacturing Director,3,Married,5761,17789,5,Y,No,25,3,1,80,1,36,5,4,0,0,0,0
